Efficiency,Crossflow,Francis,Kaplan,Pelton,Propeller
0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.027866065012697935,0.0
0.06,0.0,0.0,0.0,0.1617308286232259,0.0
0.07,0.0,0.0,0.02963254084768749,0.24420189285626132,0.0
0.08,0.0,0.0,0.09880295717484945,0.30960617887712066,0.0
0.09,0.0,0.0,0.16222038077148032,0.3632160735821937,0.0
0.1,0.0,0.2178658549438918,0.22344071601610116,0.40944404559703085,0.0
0.11,0.03235282934931942,0.26883907452563127,0.31153274571401385,0.4534648116917522,0.0
0.12,0.066870883750225,0.30763527253464507,0.3754275686228039,0.4892943651337899,0.0
0.13,0.09828706665622428,0.34538273252480983,0.4227429043309715,0.5243955723936946,0.0
0.14,0.12944747034906323,0.3805660938409564,0.4609850810287203,0.5530839336671486,0.0
0.15,0.1607383019913188,0.4126852123902612,0.49289327562841934,0.580621883084858,0.0
0.16,0.19121539370278234,0.4408477795337998,0.5210543846401527,0.60430937744727,0.0
0.17,0.2212703117725827,0.467309265988183,0.547438893834292,0.6260205443719287,0.0
0.18,0.24985404657087198,0.49344473460170335,0.5703819431380911,0.6460908752671314,0.0
0.19,0.2765122192474647,0.517891392459873,0.5915798258138844,0.6644423099023026,0.0
0.2,0.300354928714019,0.5388353122411819,0.6113768780556188,0.6820324685136758,0.0
0.21,0.32559114207556233,0.5592092827342724,0.6285434577024678,0.6986108929338068,0.0
0.22,0.3510481395930056,0.5793908103853086,0.6453339862624264,0.7137375330802712,0.0
0.23,0.37470810568240814,0.5983163105858416,0.6621249369616513,0.7275439279930007,0.0
0.24,0.39691757210705403,0.6155651447507434,0.6761317028170444,0.7404806194246342,0.0
0.25,0.41865765797085047,0.6317132210781655,0.6889305786260206,0.752642375135883,0.0
0.26,0.437933542359733,0.6470047402588296,0.701374103284761,0.764001963534224,0.0
0.27,0.4567022922274408,0.6614524181959354,0.713650032721039,0.7747496040438971,0.0
0.28,0.47489983825834314,0.6749859394426064,0.7255123788015336,0.7850756625912043,0.0
0.29,0.49218568590490647,0.6877550891117928,0.7354980788488652,0.7947969028941669,0.0
0.3,0.5091518595597536,0.6998724463779952,0.7422239756078691,0.8036170558729114,0.0
0.31,0.5262380056151724,0.711185345148019,0.7483974815379629,0.8116287719082861,0.0
0.32,0.5434908551573706,0.7215764077924236,0.7589079388256061,0.8191827278405724,0.0
0.33,0.56010853214875,0.7312498099321503,0.7733307822173241,0.8264225686013579,0.0
0.34,0.5751446134752006,0.7404821225330339,0.7825743203900267,0.8332999174155781,0.0
0.35,0.589925288053813,0.7493478341569376,0.7874751831714043,0.8397427538236059,0.0
0.36,0.6051008600074762,0.7577397394349458,0.7928057185153217,0.845643066459894,0.027408590528919554
0.37,0.6203147759130104,0.7657150327642658,0.7998842637895749,0.8509231386028281,0.05154511792180765
0.38,0.6347554953211102,0.7736045164108418,0.8070694478813009,0.8556452888630848,0.07541025333378966
0.39,0.6483018288973447,0.7815700161532604,0.8134151622340842,0.8599146218456794,0.09833457543153613
0.4,0.6615183451093244,0.789211199015651,0.8193165968387406,0.8638960395569122,0.12034784298638114
0.41,0.6740790526154872,0.7961503388087965,0.8251397558511769,0.8677719924348869,0.14239349544607147
0.42,0.6852581900600824,0.8026932106834462,0.8308117496120193,0.8715518879022329,0.16492741935997265
0.43,0.6951946092300862,0.8092449418199125,0.8362099224940776,0.8751030794225564,0.18673164172524565
0.44,0.7046041070998522,0.8155078875367321,0.8413435338597915,0.8783605280574551,0.20734407755429105
0.45,0.7139546583132211,0.8211253718213338,0.8462624011211181,0.8813634970683943,0.22799484660133545
0.46,0.7230518779199764,0.8263241956130933,0.8509921096304297,0.8841478425364366,0.24862038978271447
0.47,0.7316262444206806,0.8314306032168199,0.8555445460351483,0.8867191519466135,0.2693220739236377
0.48,0.7396605105667438,0.836430866036409,0.8599484505548759,0.889092325596547,0.28958244051395643
0.49,0.7472636404399136,0.8410727738557546,0.8642500623340225,0.891352159234774,0.30959978098892377
0.5,0.7545159793876924,0.8451927738747811,0.8684708051203693,0.8935850587496054,0.32933682600338654
0.51,0.761470990776644,0.8489809663112354,0.8725850025233266,0.8956840950037604,0.34832992311613986
0.52,0.7681441017556665,0.8527070831718663,0.8765539442430568,0.8974431476089585,0.36749387840065545
0.53,0.7744892212477186,0.8564920512237731,0.8803173171522586,0.8988748219689773,0.3868797740850734
0.54,0.7804457203790961,0.860264877016071,0.8838424803343626,0.9002089443430284,0.405270212212705
0.55,0.7859265521178352,0.8639536186364309,0.8872567594820754,0.9016164794878516,0.42312414908314067
0.56,0.7908341159011747,0.8675769627264059,0.8907063737136607,0.9031494862264811,0.441279239107439
0.57,0.795040881740964,0.8711955966326177,0.8940847338636457,0.9047783830306116,0.45901918284298854
0.58,0.7984260256675945,0.874811916679188,0.8971745626504114,0.9062512557314112,0.47635738988276155
0.59,0.801062340638846,0.8782863075577805,0.9000037397042531,0.9073533414342065,0.493365041965796
0.6,0.8031473757379639,0.8814686857113846,0.9028670774349713,0.9083644172765155,0.5100859534582407
0.61,0.8048738253181148,0.8844014774667504,0.9058553418211986,0.9096981794226259,0.5265805238566946
0.62,0.8064148514344059,0.8872942980388523,0.908638983219271,0.9111239612729607,0.542477638519779
0.63,0.8079284867786085,0.890317932023196,0.9109151738033835,0.9119977847898968,0.5577452592673826
0.64,0.8094747080804786,0.893351587697386,0.9128715720875644,0.9123313430426501,0.5728328629630831
0.65,0.8110598415254988,0.8961569442600764,0.9148853795906993,0.9128788893648466,0.5876285298263964
0.66,0.8126104528871936,0.8986013458659393,0.9170473270492253,0.9141066748946165,0.6021054687273616
0.67,0.8139889016503564,0.9008489951933643,0.9190963785941806,0.9154947356081388,0.6165973135019055
0.68,0.8151253156120504,0.9031138880902102,0.9208327547347693,0.9165024913012326,0.6307830792353096
0.69,0.8160506789446814,0.9054750154037764,0.9223806656949197,0.9172331523817336,0.644276321430288
0.7,0.816807440302786,0.9077842459392848,0.9239328324862801,0.9179259548560021,0.6576404938393211
0.71,0.817453619010177,0.9098841337000255,0.9255158397178345,0.9186578676681089,0.6710249012213323
0.72,0.8180480486482997,0.9117522183243554,0.9270257316029189,0.9194279925499808,0.6840352914394295
0.73,0.8186097566281098,0.9134486078041338,0.9283781668045094,0.9201735369191273,0.6966165749731629
0.74,0.8191316288364278,0.9150533694287547,0.9295624321292255,0.9207835072055763,0.7088757109615792
0.75,0.8195780580375849,0.9167582193645119,0.9305794235072569,0.9212294019102517,0.7209937220754691
0.76,0.819867830181366,0.9187959721492279,0.9313944045912029,0.9216015940874812,0.7329983772779228
0.77,0.8199451135201399,0.9212923294718687,0.931949503585674,0.9219555357783646,0.7446940558119338
0.78,0.8199006678975,0.9240055904379707,0.9322668373330889,0.9222644137766646,0.7561368501453574
0.79,0.819863721494366,0.926617172698224,0.9325775972512826,0.922496178860842,0.7675985799867505
0.8,0.819869050088111,0.9289143220581589,0.9330996524917179,0.9226369812597921,0.7790676501370439
0.81,0.8198829953317907,0.9308477111155276,0.9336159157716553,0.9226826724602822,0.7903324583818355
0.82,0.8198849064289041,0.9323937198517301,0.9336785274862137,0.9226692260717386,0.8012285566967419
0.83,0.8198807436976006,0.9336922641707358,0.9331889502521945,0.9226530937552897,0.8116291683660848
0.84,0.8198782366029087,0.9350033625460976,0.9326196360994814,0.9226547336829442,0.8214212660065864
0.85,0.819879049194178,0.9365420532641779,0.932398594558222,0.9226595013375214,0.830505060516577
0.86,0.8198779458426692,0.938170868731788,0.932432287848373,0.9226591407448403,0.8388984188813194
0.87,0.8197919246872637,0.9395945110280595,0.9324532650165616,0.9226587849870799,0.8468685651674764
0.88,0.8194755900652246,0.9405994139001449,0.9322906666746203,0.922661485638276,0.8546102097019315
0.89,0.8188965586723594,0.9413192881921033,0.9319444814053253,0.922659718069299,0.8619922022856903
0.9,0.818245661371197,0.9419789268414631,0.9314336858245489,0.9226484481001413,0.868866350361565
0.91,0.8177079572565614,0.9426957541014785,0.9307863937773951,0.9226496235697051,0.8753592722666739
0.92,0.8172645754095361,0.943323042947516,0.9300344176043344,0.9226880581778917,0.8816639633616936
0.93,0.8168167874511345,0.9436764882238158,0.9292193658251853,0.9227033834168992,0.887555286159247
0.94,0.8162951041940663,0.9436971587674301,0.9283938637222607,0.9225822095179415,0.8925457317360532
0.95,0.8156569784979576,0.9435130484971953,0.9275934275610778,0.9223183337797873,0.8966109520324169
0.96,0.8149215454294523,0.9432587001541403,0.9267907400310214,0.9220310577986568,0.9002688169219635
0.97,0.814287957436398,0.942953293615459,0.9259473242671171,0.9218015773323941,0.9037533267040414
0.98,0.8139513610783642,0.9425341873111465,0.9250819292718354,0.9216179968752468,0.9066505074234036
0.99,0.8137767086152825,0.9419435390855273,0.9242670320842313,0.9214400128944376,0.9085915928904792
1.0,0.8134617445749032,0.9411880308270153,0.9235467030488471,0.9211625579884319,0.9096865971118031
1.01,0.8128339887679534,0.9403111023264539,0.922846158817193,0.9206831280852706,0.910119585641778
1.02,0.8118553494894992,0.939340296490711,0.9220657266989717,0.920016253073941,0.9097767434465079
1.03,0.8105400516552194,0.9382370866310457,0.921168224306962,0.9192204875572425,0.9084242052522089
1.04,0.8090582943904486,0.9369462032304751,0.9201653847654495,0.918339720514302,0.9060331076485181
1.05,0.8075932683821343,0.935404038054228,0.9190673836267633,0.917412543828924,0.9027338821854087
1.06,0.8061573351746752,0.9335272212036781,0.9178776081277943,0.9164422544881397,0.8984624127440717
1.07,0.8046719106490116,0.9312334975466857,0.9166070757092258,0.915352857102242,0.8928773098024514
1.08,0.8029900014718724,0.9285509103706808,0.9153384695698376,0.9140682323780688,0.8856166491910444
1.09,0.8009096111542289,0.9256293909067073,0.9141890212210907,0.9126682488712999,0.8763185067403482
